Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_EDGE3D,Base_Seq,default,3375, PASSED     ,0.0085813,0.0221669,9.38853,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_4-kernel-run-data.csv,Seq,Base_Seq-default,9.385774999999999,0.02197615
Apps_EDGE3D,Base_CUDA,block_256,3375, PASSED     ,0.000237154,0.802097,339.719,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_4-kernel-run-data.csv,CUDA,Base_CUDA-block_256,740.1445,1.7229735
Apps_EDGE3D,RAJA_CUDA,block_256,3375, PASSED     ,0.00023731,0.801571,339.496,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_4-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,741.7429999999999,1.7266705
Apps_EDGE3D,Base_Seq,default,704969, PASSED     ,1.10992,0.0213042,9.36795,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_512-kernel-run-data.csv,Seq,Base_Seq-default,9.35308,0.0213042
Apps_EDGE3D,Base_CUDA,block_256,704969, PASSED     ,0.00652701,3.6228,1593.03,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_512-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1593.03,3.6228
Apps_EDGE3D,RAJA_CUDA,block_256,704969, PASSED     ,0.00655342,3.60819,1586.61,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_512-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1586.61,3.60819
Apps_EDGE3D,Base_Seq,default,79507, PASSED     ,0.140297,0.021455,9.35348,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_64-kernel-run-data.csv,Seq,Base_Seq-default,9.35308,0.021455
Apps_EDGE3D,Base_CUDA,block_256,79507, PASSED     ,0.000909437,3.30983,1442.95,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_64-kernel-run-data.csv,CUDA,Base_CUDA-block_256,1442.95,3.30983
Apps_EDGE3D,RAJA_CUDA,block_256,79507, PASSED     ,0.000913869,3.29378,1435.95,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/EDGE3D_factor_64-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,1435.95,3.29378
Apps_ENERGY,Base_Seq,default,417, PASSED     ,1.71913e-06,48.7956,13.341,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1-kernel-run-data.csv,Seq,Base_Seq-default,12.8693,47.0702
Apps_ENERGY,Base_CUDA,block_256,417, PASSED     ,1.2912e-05,6.49675,1.77625,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1-kernel-run-data.csv,CUDA,Base_CUDA-block_256,6.93723,25.3733
Apps_ENERGY,RAJA_CUDA,block_256,417, PASSED     ,1.29043e-05,6.50062,1.77731,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1-kernel-run-data.csv,CUDA,RAJA_CUDA-block_256,6.90487,25.255
Apps_ENERGY,Base_Seq,default,426667, PASSED     ,0.00279157,30.7464,8.40628,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier1/ENERGY_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default,8.40628,30.7464
