Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Mean Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GB per sec.)
Apps_FEMSWEEP,Base_HIP,block_64,589824, PASSED     ,0.000631243,18.3008,99.1616,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64,99.3394,
Apps_FEMSWEEP,RAJA_HIP,block_64,589824, PASSED     ,0.000574842,20.0964,108.891,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64,108.891,
Apps_FEMSWEEP,Base_HIP,block_64,9216000, PASSED     ,0.0101305,19.1654,99.206,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_64,98.0314,
Apps_FEMSWEEP,RAJA_HIP,block_64,9216000, PASSED     ,0.00960687,20.21,104.613,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_64,104.613,
Apps_FEMSWEEP,Base_HIP,block_64,1990656, PASSED     ,0.00207191,19.6075,103.524,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_64,99.3394,
Apps_FEMSWEEP,RAJA_HIP,block_64,1990656, PASSED     ,0.00195543,20.7755,109.691,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_64,109.691,
Apps_FEMSWEEP,Base_HIP,block_64,589824, PASSED     ,0.000630113,18.3336,99.3394,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_64,99.3394,
Apps_FEMSWEEP,RAJA_HIP,block_64,589824, PASSED     ,0.000579312,19.9413,108.051,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_64,108.891,
Apps_FEMSWEEP,Base_HIP,block_64,15925248, PASSED     ,0.017768,19.0301,98.0314,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_64,97.1225,
Apps_FEMSWEEP,RAJA_HIP,block_64,15925248, PASSED     ,0.0167848,20.1448,103.774,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/FEMSWEEP_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_64,103.774,
